host, ip, mac, "os"
lbre-intelevent.Stanford.EDU, 171.64.144.210, 78:2B:CB:6F:A8:2E, "Microsoft Windows Vista (100%)"
dpm-backup.Stanford.EDU, 171.64.144.211, 00:15:C5:5E:83:92, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-cp01.Stanford.EDU, 171.64.144.212, 08:9E:01:17:A4:89, ""
lbre-edna-web.Stanford.EDU, 171.64.144.213, 00:50:56:96:88:04, "Microsoft Windows Vista Home Basic (100%)"
fac-emcs-wireless1.Stanford.EDU, 171.64.144.219, 00:80:67:81:3A:76, ""
fac-esxi-mg.Stanford.EDU, 171.64.144.222, 00:14:22:FE:B4:7A, "FreeNAS 0.686 (FreeBSD 6.2-RELEASE) (100%)"
fac-esxi-proj.Stanford.EDU, 171.64.144.223, 00:19:B9:F6:10:03, "FreeNAS 0.686 (FreeBSD 6.2-RELEASE) (100%)"
fac-web3-dev.Stanford.EDU, 171.64.144.226, 00:50:56:AD:1C:A8, "Linux 2.6.9 - 2.6.26 (100%)"
fac-emcs-piweb.Stanford.EDU, 171.64.144.227, 00:13:72:54:29:F8, "Microsoft Windows Server 2003 SP1 or SP2 (100%)"
lbre-web2.Stanford.EDU, 171.64.144.228, 00:50:56:AE:00:42, ""
fops-cf-new.Stanford.EDU, 171.64.144.232, 00:50:56:AE:00:03, "Linux 2.6.17 - 2.6.22 (100%)"
lbre-kvm-i25.Stanford.EDU, 171.64.144.234, 00:E0:86:0F:B8:3B, ""
lbre-kvm-i26.Stanford.EDU, 171.64.144.235, 00:E0:86:0F:B8:5E, ""
goz-srtr-vlan487.Stanford.EDU, 172.24.144.1, 00:10:DB:FF:80:80, ""
lbre-bladenc1-drac.Stanford.EDU, 172.24.144.13, 00:14:22:FE:55:B3, ""
lbre-bladeenc1-kvm.Stanford.EDU, 172.24.144.14, 00:E0:86:05:CB:ED, ""
lbre-esxi-4.Stanford.EDU, 172.24.144.15, 00:14:22:FE:B3:4E, ""
lbre-mapguide-dev.Stanford.EDU, 172.24.144.16, 00:50:56:AD:48:95, ""
lbre-mapguide-test.Stanford.EDU, 172.24.144.18, 00:50:56:AD:48:95, ""
scadaweb-drac.Stanford.EDU, 172.24.144.19, A4:BA:DB:38:63:41, ""
lbre-kvm-bonair.Stanford.EDU, 172.24.144.20, 00:E0:86:09:91:BB, ""
lbre-sem-hist1-drac.Stanford.EDU, 172.24.144.23, 90:B1:1C:41:82:74, ""
lbre-cf2-dev.Stanford.EDU, 172.24.144.24, 00:50:56:AE:00:12, ""
lbre-emcs-archrock1.Stanford.EDU, 172.24.144.25, 00:0A:9D:F5:0A:3D, ""
lbre-mirror01-rac.Stanford.EDU, 172.24.144.27, 00:25:90:3F:D9:89, ""
lbre-vmh-vdr01.Stanford.EDU, 172.24.144.28, 00:1C:23:B8:17:83, ""
lbrehr-temp.Stanford.EDU, 172.24.144.29, 00:14:22:FE:B4:90, ""
luepframework-temp.Stanford.EDU, 172.24.144.30, 00:14:22:FE:B4:90, ""
lbre-lb1.Stanford.EDU, 172.24.144.31, 00:50:56:AE:00:1D, ""
lbre-lb2.Stanford.EDU, 172.24.144.32, 00:50:56:AE:00:2F, ""
lbre-sesi-1-drac.Stanford.EDU, 172.24.144.35, 90:B1:1C:54:77:26, "Linux 2.6.19 - 2.6.20 (100%)"
lbre-sem-hist2-drac.Stanford.EDU, 172.24.144.36, 90:B1:1C:41:B9:86, "Linux 2.6.9 - 2.6.26 (100%)"
lbre-sem-col1-drac.Stanford.EDU, 172.24.144.37, 90:B1:1C:49:18:D8, "Linux 2.6.9 - 2.6.26 (100%)"
bondata4-bmc.Stanford.EDU, 172.24.144.52, 00:14:22:75:09:09, ""
